책A,책B,대분류A,대분류B,교차,엣지종류수,상호,순위강도합,IDF_A,IDF_B,보편도penalty,최종굵기,같은시리즈,ISBN_A,ISBN_B
흔한남매 이상한 나라의 고전 읽기,축구 만화 도감 :재밌을 줄 알았는데 멋있어!,문학,예술,True,1,False,0.2,0.636,1.0,0.636,0.127,False,9791168415034,9791190007320
당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,어른의 행복은 조용하다,기술과학,문학,True,1,False,0.3,0.843,0.42,0.42,0.126,False,9791140702589,9791169851053
작별하지 않는다 :한강 장편소설,단 한 번의 삶,문학,문학,False,1,False,0.5,0.322,0.246,0.246,0.123,False,9788954682152,9791191114768
이처럼 사소한 것들 :클레어 키건 소설,단 한 번의 삶,문학,문학,False,1,False,0.5,0.334,0.246,0.246,0.123,False,9791130646381,9791191114768
불편한 편의점 :김호연 장편소설,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",문학,철학,True,1,False,0.6,0.202,0.238,0.202,0.121,False,9791161571188,9791167740984
나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,도파민네이션 :쾌락 과잉 시대에서 균형 찾기,문학,철학,True,1,False,0.3,0.403,1.0,0.403,0.121,False,9788901276533,9788965965046
내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,불편한 편의점 :김호연 장편소설,종교,문학,True,1,False,0.6,1.0,0.202,0.202,0.121,False,9791130689890,9791161571188
불편한 편의점 :김호연 장편소설,달러구트 꿈 백화점 :이미예 장편소설,문학,문학,False,2,False,0.6,0.202,1.0,0.202,0.121,False,9791161571188,9791165343729
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",돈의 심리학 :당신은 왜 부자가 되지 못했는가,철학,사회과학,True,2,False,0.5,0.238,0.595,0.238,0.119,False,9791167740984,9791191056372
주식시장의 17가지 미신 :왜 대다수의 투자자는 시장에서 돈을 잃는가,돈의 심리학 :당신은 왜 부자가 되지 못했는가,사회과학,사회과학,False,1,False,0.2,1.0,0.595,0.595,0.119,False,9791190977173,9791191056372
인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",예술,철학,True,1,False,0.5,0.843,0.238,0.238,0.119,False,9791130648385,9791167740984
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,철학,철학,False,2,False,0.5,0.238,0.751,0.238,0.119,False,9791167740984,9791192300245
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,철학,기술과학,True,1,False,0.5,0.238,0.843,0.238,0.119,False,9791167740984,9791198553317
타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,사회과학,철학,True,1,False,0.4,0.686,0.29,0.29,0.116,False,9791158510619,9791192300818
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,"(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",철학,역사,True,1,False,0.4,0.29,1.0,0.29,0.116,False,9791192300818,9791193128428
인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,예술,철학,True,1,False,0.4,0.843,0.29,0.29,0.116,False,9791130648385,9791192300818
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,철학,기술과학,True,1,False,0.4,0.29,0.843,0.29,0.116,False,9791192300818,9791198553317
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다,철학,종교,True,2,False,0.4,0.29,0.636,0.29,0.116,False,9791192300818,9791193506516
아버지의 해방일지 :정지아 장편소설,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,문학,철학,True,1,False,0.5,0.23,0.751,0.23,0.115,False,9788936438838,9791192625553
아버지의 해방일지 :정지아 장편소설,도파민네이션 :쾌락 과잉 시대에서 균형 찾기,문학,철학,True,1,False,0.5,0.23,1.0,0.23,0.115,False,9788936438838,9788965965046
아버지의 해방일지 :정지아 장편소설,빨치산의 딸:정지아 장편소설,문학,미상,False,1,False,0.5,0.23,1.0,0.23,0.115,False,9788936438838,9788991071117
아버지의 해방일지 :정지아 장편소설,혼모노 :성해나 소설집,문학,문학,False,1,False,0.5,0.23,0.387,0.23,0.115,False,9788936438838,9788936439743
흔한남매,세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,문학,예술,True,1,False,0.2,0.56,1.0,0.56,0.112,False,9791168414471,9791186494431
세이노의 가르침 :피보다 진하게 살아라,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,사회과학,기술과학,True,1,False,0.4,0.281,0.843,0.281,0.112,False,9791168473690,9791193080146
역행자 :확장판,세이노의 가르침 :피보다 진하게 살아라,사회과학,사회과학,False,1,False,0.4,1.0,0.281,0.281,0.112,False,9788901272580,9791168473690
모순 :양귀자 장편소설,지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,문학,총류,True,1,False,0.2,0.529,1.0,0.529,0.106,False,9788998441012,9791190313186
철학은 날씨를 바꾼다 :삶을 쓰다듬는 위안의 책,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",철학,자연과학,True,1,False,0.2,0.843,0.529,0.529,0.106,False,9788934971351,9791189327156
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문","물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",역사,자연과학,True,1,False,0.2,1.0,0.529,0.529,0.106,False,9788934972464,9791189327156
대온실 수리 보고서 :김금희 장편소설,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",문학,자연과학,True,1,False,0.2,0.751,0.529,0.529,0.106,False,9788936439651,9791189327156
최고의 변화는 어디서 시작되는가 :노력만 하는 독종은 모르는 성공의 법칙,퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명,사회과학,사회과학,False,1,False,0.3,1.0,0.346,0.346,0.104,False,9791162540237,9791192389325
내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,절창 :구병모 장편소설,종교,문학,True,1,False,0.2,1.0,0.503,0.503,0.101,False,9791130689890,9791141602451
돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",사회과학,예술,True,1,False,0.2,0.503,0.843,0.503,0.101,False,9791188331796,9791190382502
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",절창 :구병모 장편소설,역사,문학,True,1,False,0.2,1.0,0.503,0.503,0.101,False,9788934972464,9791141602451
불편한 편의점 :김호연 장편소설,바다가 들리는 편의점,문학,문학,False,2,False,0.5,0.202,0.751,0.202,0.101,False,9791161571188,9791192579504
(EBS 다큐프라임) 자본주의,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,사회과학,False,1,False,0.2,0.843,0.503,0.503,0.101,False,9788957365793,9791188331796
불편한 편의점 :김호연 장편소설,파우스터 =김호연 장편소설 /Fauster,문학,미상,False,1,False,0.5,0.202,1.0,0.202,0.101,False,9791161571188,9791189938642
흔한남매,백앤아 :교양이 층층 쌓이는 점프 맵,문학,총류,True,1,False,0.2,0.503,1.0,0.503,0.101,False,9791168412477,9791192504230
부의 인문학 :슈퍼리치의 서재에서 찾아낸 부자의 길,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것,사회과학,사회과학,False,1,False,0.2,1.0,0.503,0.503,0.101,False,9788995563502,9791188331796
절창 :구병모 장편소설,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,문학,역사,True,1,False,0.2,0.503,1.0,0.503,0.101,False,9791141602451,9791198243430
(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,흔한남매,총류,문학,True,1,False,0.2,1.0,0.503,0.503,0.101,False,9788934951278,9791168412477
"(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",꿰뚫는 한국사 :시대를 뒤흔든 문제적 인물들,역사,미상,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9791193128428,9791198496645
벌거벗은 한국사 :500년 역사가 눈앞에 펼쳐지는 스토리텔링 조선사,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,미상,역사,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9791193401095,9791198243430
아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,바빌론의 부자 멘토와 꼬마 제자 :철학이 있는 부자가 들려주는 돈에 대한 가르침,기술과학,사회과학,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9791193506202,9791198682529
흔한남매 과학 탐험대,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,자연과학,자연과학,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9788934980254,9791164137923
이처럼 사소한 것들 :클레어 키건 소설,남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,문학,철학,True,1,False,0.3,0.334,0.843,0.334,0.1,False,9791130646381,9791169850445
머리는 이렇게 부스스해도,(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,문학,총류,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9788934942566,9788934951278
흔한남매,세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,미상,예술,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9791173114038,9791186494431
하하 자매 떡집,"왜 유명한 거야, 이 그림?",문학,예술,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9788949162539,9791167550712
"(초등 3, 4학년에 시작하는) 하루 20분 초등 고전 읽기 :공부머리, 사고머리를 키우는 진짜 독서 습관",공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,총류,총류,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9791158463489,9791196316808
장군이네 떡집,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것,문학,총류,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9788949162041,9791196316808
호랑이를 부탁해 :설상록 장편동화,"왜 유명한 거야, 이 그림?",미상,예술,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9788949122083,9791167550712
정재승의 인류 탐험 보고서,물리박사 김상욱의 수상한 연구실 :어린이를 위한 세상의 모든 과학,자연과학,자연과학,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9788950996505,9791171171019
(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,사회과학,자연과학,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9791168413078,9791168416598
꽃 아주머니와 비밀의 방 :색다르게 그림을 보는 법,"왜 유명한 거야, 이 그림?",미상,예술,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9788992371872,9791167550712
숙론 =어떻게 마주 앉아 대화할 것인가 /Discourse,시대예보 :핵개인의 시대 =Forecast of the times : era of nuclear individuals,문학,사회과학,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9788934950196,9791170610359
타키포오 얼렁뚱땅 상식스쿨,(허징의 수상한) 만물상점,총류,문학,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9791171241675,9791172458577
(타키·포오의) 이세계 여행사,타키포오 얼렁뚱땅 상식스쿨,문학,총류,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9791169794183,9791171241675
"(오, 필승!) 월드컵 축구 대백과",축구 만화 도감 :재밌을 줄 알았는데 멋있어!,미상,예술,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9791160943634,9791190007320
이카루스 이야기 :생각을 깨우는 변화의 힘,나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,사회과학,총류,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9788947529457,9791189686826
김영하의 세계문학 원정대,만화 한국 신화 :어린이를 위한 우리 인문학,문학,종교,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9788934911302,9791130696614
(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 오해요 :귀염 뽀짝 부캐들과 펼치는 초단편 콩트 만화,예술,문학,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9791164137176,9791168410930
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,이처럼 사소한 것들 :클레어 키건 소설,예술,문학,True,1,False,0.3,1.0,0.334,0.334,0.1,False,9788968331862,9791130646381
만화 한국 신화 :어린이를 위한 우리 인문학,(설민석의) 그리스 로마 신화 대모험,종교,종교,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9791130696614,9791193031711
이처럼 사소한 것들 :클레어 키건 소설,흐르는 강물처럼,문학,미상,False,1,False,0.3,0.334,1.0,0.334,0.1,False,9791130646381,9791130649672
(지적인 현대인을 위한) 지식 편의점,지적 대화를 위한 넓고 얕은 지식 :한 권으로 현실 세계를 통달하는 지식 여행서,총류,총류,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9788965963851,9791190313186
"무엇이 옳은가 :궁극의 질문들, 우리의 방향이 되다",내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong,철학,종교,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9788933871805,9791130689890
에그박사의 닮은꼴 사파리 :전격비교관찰 생물도감,에그박사의 채집 일기 :스티커로 채집하는 자연 생물 관찰 만화,자연과학,자연과학,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9788927747581,9791164137800
만화 한국 신화 :어린이를 위한 우리 인문학,(설민석의) 그리스 로마 신화 대모험,종교,종교,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9791130696614,9791193031209
(최재천의) 동물대탐험 :지구를 사랑하는 어린이를 위한 생물학 동화,물리박사 김상욱의 수상한 연구실 :어린이를 위한 세상의 모든 과학,자연과학,자연과학,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9791130647173,9791171171019
이로운 보수 의로운 진보 :최강형제가 들려주는 최소한의 정치 교양,문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?,사회과학,자연과학,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9791172132477,9791192836188
(설민석의) 그리스 로마 신화 대모험,설민석의 한국사 대모험,종교,역사,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9791191496949,9791198179913
아홉 살 마음 사전,"용기를 내, 비닐장갑! :유설화 그림책",철학,문학,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9788936447014,9791158362249
아홉 살 마음 사전,벚꽃 수영장,철학,문학,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9788936447014,9791168341753
"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",5~10세 아들 육아는 책읽기가 전부다 :아들의 약점은 채우고 강점을 키우는 기적의 책육아 로드맵,기술과학,총류,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9791168127531,9791168270695
요리스타 청,(백종원의) 도전 요리왕 :음식으로 맛보는 세계 역사 문화 체험,기술과학,기술과학,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9788934972242,9791189938352
아홉 살 마음 사전,께롱께롱 놀이 노래 :아침부터 잠잘때까지 부르는 전래동요 50곡,철학,문학,True,1,False,0.1,1.0,1.0,1.0,0.1,False,9788936447014,9788984285392
홍학의 자리 :정해연 장편소설,이처럼 사소한 것들 :클레어 키건 소설,문학,문학,False,1,False,0.3,0.686,0.334,0.334,0.1,False,9788954681155,9791130646381
나는 미술관에 간다 :전문가의 맞춤 해설로 내 방에서 즐기는 세계 10대 미술관,방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,미상,예술,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9788960536074,9788968331862
팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,채사장의 지대넓얕 :지적 대화를 위한 넓고 얕은 지식,총류,총류,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9791169254069,9791197578410
팜 :기발한 상상력이 가득한 판타지 코딩과학동화,팩토피아 :꼬리에 꼬리를 무는 400가지 사실들,총류,총류,False,1,False,0.1,1.0,1.0,1.0,0.1,False,9791160509441,9791169254069
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",단 한 번의 삶,역사,문학,True,1,False,0.4,1.0,0.246,0.246,0.098,False,9788934972464,9791191114768
단 한 번의 삶,"(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",문학,역사,True,1,False,0.4,0.246,1.0,0.246,0.098,False,9791191114768,9791193128428
소년이 온다 :한강 장편소설,단 한 번의 삶,문학,문학,False,1,False,0.4,0.438,0.246,0.246,0.098,False,9788936434120,9791191114768
나는 어떻게 삶의 해답을 찾는가 :고명환의 독서 내공,단 한 번의 삶,총류,문학,True,1,False,0.4,1.0,0.246,0.246,0.098,False,9791189686826,9791191114768
돈의 심리학 :당신은 왜 부자가 되지 못했는가,단 한 번의 삶,사회과학,문학,True,1,False,0.4,0.595,0.246,0.246,0.098,False,9791191056372,9791191114768
단 한 번의 삶,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,문학,기술과학,True,1,False,0.4,0.246,0.751,0.246,0.098,False,9791191114768,9791198752406
"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",작별하지 않는다 :한강 장편소설,역사,문학,True,1,False,0.3,1.0,0.322,0.322,0.097,False,9788934972464,9788954682152
작별하지 않는다 :한강 장편소설,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘,문학,철학,True,1,False,0.3,0.322,0.751,0.322,0.097,False,9788954682152,9791192625553
작별하지 않는다 :한강 장편소설,"첫 여름, 완주 :김금희 장편소설",문학,미상,False,1,False,0.3,0.322,0.686,0.322,0.097,False,9788954682152,9791197221989
노랑무늬영원 :한강 소설집,작별하지 않는다 :한강 장편소설,미상,문학,False,1,False,0.3,1.0,0.322,0.322,0.097,False,9788932034836,9788954682152
작별하지 않는다 :한강 장편소설,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,문학,역사,True,1,False,0.3,0.322,1.0,0.322,0.097,False,9788954682152,9791198243430
밝은 밤 :최은영 장편소설,작별하지 않는다 :한강 장편소설,문학,문학,False,1,False,0.3,0.686,0.322,0.322,0.097,False,9788954681179,9788954682152
작별하지 않는다 :한강 장편소설,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,문학,기술과학,True,1,False,0.3,0.322,0.843,0.322,0.097,False,9788954682152,9791193080146
메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,(5천년 역사가 단숨에 이해되는) 최소한의 한국사,문학,역사,True,1,False,0.2,0.479,1.0,0.479,0.096,False,9791191891287,9791198243430
메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,바다가 들리는 편의점,문학,문학,False,1,False,0.2,0.479,1.0,0.479,0.096,False,9791191891287,9791192579887
세상의 마지막 기차역,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,문학,문학,False,1,False,0.2,0.843,0.479,0.479,0.096,False,9791191043754,9791191891287
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",(5천년 역사가 단숨에 이해되는) 최소한의 한국사,철학,역사,True,1,False,0.4,0.238,1.0,0.238,0.095,False,9791167740984,9791198243430
아버지의 해방일지 :정지아 장편소설,하얼빈 :김훈 장편소설,문학,문학,False,1,False,0.4,0.23,1.0,0.23,0.092,False,9788936438838,9788954699914
아버지의 해방일지 :정지아 장편소설,빨치산의 딸:정지아 장편소설,문학,미상,False,1,False,0.4,0.23,1.0,0.23,0.092,False,9788936438838,9788991071124
흔한남매,(백종원의) 도전 요리왕 :음식으로 맛보는 세계 역사 문화 체험,문학,기술과학,True,1,False,0.2,0.457,1.0,0.457,0.091,False,9791168411685,9791189938352
흔한남매,백앤아 :교양이 층층 쌓이는 점프 맵,문학,총류,True,1,False,0.2,0.457,1.0,0.457,0.091,False,9791168418011,9791192504230
흔한남매,(백종원의) 도전 요리왕 :음식으로 맛보는 세계 역사 문화 체험,문학,기술과학,True,1,False,0.2,0.457,1.0,0.457,0.091,False,9791168418011,9791189938352
(아이들도 잘 모르고 어른들은 더 모르는) 신기한 현상 사전,흔한남매,총류,문학,True,1,False,0.2,1.0,0.457,0.457,0.091,False,9788934951278,9791168418011
슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,흔한남매,자연과학,문학,True,1,False,0.2,1.0,0.457,0.457,0.091,False,9791168415171,9791168418011
역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,최강의 인생 :세상의 뻔한 공식을 깨부순 게임 체인저들의 44가지 법칙,사회과학,사회과학,False,1,False,0.2,0.438,1.0,0.438,0.088,False,9788901260716,9791162540909
노랑무늬영원 :한강 소설집,소년이 온다 :한강 장편소설,미상,문학,False,1,False,0.2,0.843,0.438,0.438,0.088,False,9788932023533,9788936434120
소년이 온다 :한강 장편소설,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",문학,자연과학,True,1,False,0.2,0.438,0.529,0.438,0.088,False,9788936434120,9791189327156
인생은 순간이다 :삶이라는 타석에서 평생 지켜온 철학,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,예술,사회과학,True,1,False,0.2,0.843,0.438,0.438,0.088,False,9791130648385,9791198517425
역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,사회과학,철학,True,1,False,0.2,0.438,0.751,0.438,0.088,False,9788901260716,9791192300245
행운에 속지 마라 :불확실한 시대에 살아남는 투자 생존법,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기,사회과학,사회과학,False,1,False,0.2,0.843,0.438,0.438,0.088,False,9788927808121,9791198517425
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,니체 인생수업 :니체가 세상에 남긴 66가지 인생지혜,철학,철학,False,1,False,0.3,0.29,1.0,0.29,0.087,False,9791192300818,9791193282069
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,예술,철학,True,1,False,0.3,0.843,0.29,0.29,0.087,False,9791190382502,9791192300818
마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,나는 다정한 관찰자가 되기로 했다 :불안에 휘둘리지 않는 단단한 태도에 관하여,철학,기술과학,True,2,False,0.3,0.29,0.751,0.29,0.087,False,9791192300818,9791198752406
이처럼 사소한 것들 :클레어 키건 소설,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,문학,철학,True,1,False,0.3,0.334,0.29,0.29,0.087,False,9791130646381,9791192300818
지극히 인간적인 삶에 대하여 :쇼펜하우어 《인생론》으로 되찾는 삶의 의미,남에게 보여주려고 인생을 낭비하지 마라 :쇼펜하우어 소품집,철학,철학,False,1,False,0.1,0.843,0.843,0.843,0.084,False,9788972977322,9791169850445
꽁꽁꽁 캠핑 :윤정주 그림책,"최민준의 아들코칭 백과 :기질 파악부터 말공부, 사회성, 감정코칭까지",문학,기술과학,True,1,False,0.1,0.843,1.0,0.843,0.084,False,9791158364120,9791168127531
(돈도 마음도 낭비 없이 나만의 행복을 버는) 저소비 생활,당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,미상,기술과학,False,1,False,0.1,1.0,0.843,0.843,0.084,False,9788925573229,9791140702589
내장비만 :국민 주치의 이왕림 박사의 34년 비만 해독 연구 결정판,내 몸 혁명 :뱃살과 질병 없이 살려면 숫자보다 몸을 바꿔라,기술과학,기술과학,False,1,False,0.1,1.0,0.843,0.843,0.084,False,9791193506684,9791198553317
당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,70세의 정답 :다가올 30년의 노화를 늦추는 법,기술과학,미상,False,1,False,0.1,0.843,1.0,0.843,0.084,False,9791140702589,9791160079265
어른의 행복은 조용하다,(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,문학,사회과학,True,1,False,0.2,0.42,0.636,0.42,0.084,False,9791169851053,9791198013026
(흔한남매) 별난 세계 여행,대충 봐도 머리에 남는 어린이 야구 상식 :야구의 재미를 제대로 알게 하는 알쏭달쏭 야구의 모든 것,역사,예술,True,1,False,0.1,0.843,1.0,0.843,0.084,False,9791168415355,9791198381811
세이노의 가르침 :피보다 진하게 살아라,시대예보 :핵개인의 시대 =Forecast of the times : era of nuclear individuals,사회과학,사회과학,False,1,False,0.3,0.281,1.0,0.281,0.084,False,9791168473690,9791170610359
흔한남매,세상에서 제일 재밌는 종이접기 :색종이 한 장이면 장난감 뚝딱!,문학,예술,True,1,False,0.1,0.843,1.0,0.843,0.084,False,9791164131686,9791186494431
정재승의 인간 탐구 보고서,채사장의 지대넓얕 :지적 대화를 위한 넓고 얕은 지식,기술과학,총류,True,1,False,0.1,0.843,1.0,0.843,0.084,False,9788950983079,9791197578410
어른의 행복은 조용하다,아이는 무엇으로 자라는가 :세계적 가족 심리학자 버지니아 사티어의 15가지 양육 법칙,문학,기술과학,True,1,False,0.2,0.42,1.0,0.42,0.084,False,9791169851053,9791193506202
슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,자연과학,자연과학,False,1,False,0.1,1.0,0.843,0.843,0.084,False,9791168415171,9791173471780
방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술,작별인사 :김영하 장편소설,예술,문학,True,1,False,0.1,1.0,0.843,0.843,0.084,False,9788968331862,9791191114225
세이노의 가르침 :피보다 진하게 살아라,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,사회과학,문학,True,2,False,0.3,0.281,0.479,0.281,0.084,False,9791168473690,9791191891287
브레인포그 :내 삶의 몰입과 집중을 되찾는 10가지 방법,도파민네이션 :쾌락 과잉 시대에서 균형 찾기,철학,철학,False,1,False,0.1,0.843,1.0,0.843,0.084,False,9788947549158,9788965965046
"모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학",오타니 쇼헤이의 쇼타임 :평범함을 위대함으로 바꾼 오타니의 40가지 원칙,예술,미상,False,1,False,0.1,0.843,1.0,0.843,0.084,False,9791190382502,9791197919848
완전 소화 :아프지 않고 오래 사는 최고의 식사법,느리게 나이 드는 습관 :노년내과 의사가 알려주는 감속노화 실천법,기술과학,기술과학,False,1,False,0.1,1.0,0.843,0.843,0.084,False,9791130651415,9791193080146
