책A,책B,대분류A,대분류B,교차,엣지종류수,상호,순위강도합,IDF_A,IDF_B,보편도penalty,최종굵기,같은시리즈,ISBN_A,ISBN_B
클루지 :생각의 역사를 뒤집는 기막힌 발견,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,철학,사회과학,True,1,False,1.0,0.843,0.438,0.438,0.438,False,9788901090184,9788901260716
이처럼 사소한 것들 :클레어 키건 소설,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",문학,자연과학,True,2,False,1.3,0.334,0.529,0.334,0.434,False,9791130646381,9791189327156
불편한 편의점 :김호연 장편소설,"(펼치는 순간 단숨에 6,000년 역사가 읽히는) 요즘 어른을 위한 최소한의 세계사",문학,역사,True,2,False,1.3,0.334,1.0,0.334,0.434,False,9791161571379,9791193128428
메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry,메리골드 마음 식물원 =윤정은 장편소설 /Marigold mind botanical garden,문학,미상,False,1,False,0.9,0.479,1.0,0.479,0.431,False,9791191891287,9791193937723
"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법",마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업,철학,철학,False,2,True,1.2,0.238,0.29,0.238,0.428,False,9791167740984,9791192300818
홍학의 자리 :정해연 장편소설,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",문학,자연과학,True,1,False,0.8,0.686,0.529,0.529,0.424,False,9788954681155,9791189327156
"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기","칵테일, 러브, 좀비",자연과학,문학,True,1,False,0.8,0.529,1.0,0.529,0.424,False,9791189327156,9791190174756
놓지 마 어휘 :한자어,놓지 마 과학!,언어,자연과학,True,1,False,0.5,1.0,0.843,0.843,0.422,False,9788934990987,9791190305310
놓지 마 맞춤법,놓지 마 과학!,언어,자연과학,True,2,False,0.5,1.0,0.843,0.843,0.422,False,9788934942641,9791190630184
당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게,근육이 연금보다 강하다 :건강 나이를 10년 앞당기는 최강의 근력 운동,기술과학,기술과학,False,1,False,0.5,0.843,1.0,0.843,0.422,False,9791140702589,9791158462949
