ISBN,책,KDC,대분류,씨앗,out_degree,in_degree
9791130631134,완전학습 바이블 =배운 것을 100% 이해하는 후천적 공부머리의 비밀 /Mastery learning bible,3,사회과학,False,0,1
9788954687041,새의 선물 :은희경 장편소설,,미상,False,0,1
9791158512095,"타이탄의 지혜들 :세계 최고의 CEO, 혁신가, 게임 체인저들의 성공 비밀",3,사회과학,False,0,1
9788962261288,사랑은 없다 - 쇼펜하우어 인생론 에세이,,미상,False,0,1
9791185653396,숫자로 알아보는 세계 축구 기록,,미상,False,0,1
9791188096923,모든 주식을 소유하라 :시장과 시간이 검증한 투자의 원칙,3,사회과학,False,0,1
9788949122076,언제나 다정 죽집,,미상,False,0,1
9788965963851,(지적인 현대인을 위한) 지식 편의점,0,총류,False,0,1
9791197209963,하루 한 장 오늘의 종이접기,,미상,False,0,1
9791193128909,때로는 간절함조차 아플 때가 있었다 :강지영 에세이,,미상,False,0,1
9791130679990,낭만 강아지 봉봉,8,문학,False,0,1
9788950942762,"생각의 탄생 :생각이 번쩍, 미래가 반짝!",0,총류,False,0,1
9791192389530,"센세이셔널 :우리가 보고, 듣고, 느끼는 모든 것",5,기술과학,False,0,1
9791130651415,완전 소화 :아프지 않고 오래 사는 최고의 식사법,5,기술과학,False,0,1
9788954697354,사라진 것들 :앤드루 포터 소설,8,문학,False,0,1
9791198013002,웹 3.0 넥스트 이코노미 :불황 속 당신의 돈과 삶을 완전히 바꿀 생존경제,3,사회과학,False,0,1
9788992371872,꽃 아주머니와 비밀의 방 :색다르게 그림을 보는 법,,미상,False,0,1
9791164052035,조선미의 현실 육아 상담소,5,기술과학,False,0,1
9791166891533,공자가 죽어야 나라가 산다,3,사회과학,False,0,1
9788936448134,고양이 해결사 깜냥,8,문학,False,0,1
9791160940824,"(치고, 던지고, 달리는) 야구의 모든 것",,미상,False,0,1
9788958628705,"니체의 인생 강의 :낙타, 사자, 어린아이로 사는 변신의 삶",1,철학,False,0,1
9791191426090,(애매한 것을 속 시원하게 알려 주는) 알쏭달쏭 상담소,5,기술과학,False,0,1
9791190538602,생각이 너무 많은 어른들을 위한 심리학 :후회 없는 삶을 살고 싶은 당신에게 해 주고 싶은 말들,1,철학,False,0,1
9791199489509,"밤과 나침반 :목표는 크게, 실행은 작게",3,사회과학,False,0,1
9788950983499,정재승의 인간 탐구 보고서,5,기술과학,False,0,1
9791167741370,컬처 :하버드대 마틴 푸크너의 인류 문화 오디세이,9,역사,False,0,1
9791130639895,하룻밤 미술관 - 잠들기 전 이불 속 설레는 미술관 산책,,미상,False,0,1
9791168416598,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,4,자연과학,False,0,1
9791168415331,흔한남매 이상한 나라의 고전 읽기,8,문학,False,0,1
9791192529417,"열두 살, 아무에게도 말하지 못한 비밀",,미상,False,0,1
9791190808033,나는 축구를 만화로 배웠어요,,미상,False,0,1
9791191369540,왜 당신은 다른 사람을 위해 살고 있는가 =Why do you sacrifice your life for others?,1,철학,False,0,1
9791191013764,아들 엄마의 말 연습 :아들의 평생 습관과 공부력을 결정하는 엄마 말의 힘,5,기술과학,False,0,1
9788992877381,알고 즐기는 메이저리그 :MLB 야구의 모든 것,,미상,False,0,1
